n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
39547  5 50 28.6  -52 46 4  6.35
39551  5 56 14.4  51 48 14  6.49
39552  21 33 20.6  -80 2 21  6.47
39586  5 54 59.0  31 42 6  5.90
39587  5 54 22.9  20 16 34  4.41
39612  11 58 15.2  -56 19 2  5.44
39632  5 54 13.4  10 35 13  6.12
39640  5 50 53.2  -52 6 32  5.17
39641  15 37 49.6  40 21 12  5.24
39662  5 54 32.2  11 45 45  6.59
39669  15 31 24.9  77 20 58  4.96
39685  5 54 15.7  3 13 31  6.31
39698  5 54 56.7  19 44 59  5.92
39720  5 52 33.2  -37 37 52  5.63
39742  11 58 20.3  -40 56 50  6.79
39743  5 57 04.9  49 1 46  6.47
39752  5 52 47.7  -38 31 33  6.70
39761  15 38 48.9  34 40 30  6.11
39764  5 53 06.9  -33 48 5  4.87
39775  5 54 44.1  0 58 6  6.00
39777  5 54 34.7  -4 3 50  6.57
39777  15 29 11.0  80 26 55  6.58
39778  15 37 32.0  54 30 32  5.87
39780  5 30 13.9  -84 47 6  6.20
39789  5 53 57.4  -19 38 18  6.69
39798  15 38 16.2  46 47 52  5.75
39801  5 55 10.3  7 24 25  0.50
39810  5 47 48.1  -72 42 8  6.53
39816  5 55 49.3  20 10 30  5.4
39844  5 49 53.6  -66 54 4  5.11
39853  5 54 43.6  -11 46 26  5.66
39866  5 56 33.8  28 56 32  6.32
39881  5 56 03.5  13 55 31  6.60
39891  5 54 14.1  -29 8 52  6.36
39891  15 39 22.2  36 38 12  6.00
39892  15 39 22.7  36 38 9  5.07
39901  5 53 22.9  -42 55 17  6.55
39906  15 38 34.3  50 25 24  5.84
39910  5 55 30.3  -4 36 59  5.87
39927  5 55 35.4  -4 47 18  6.28
39937  5 52 20.3  -57 9 22  5.94
39963  5 51 23.0  -64 2 1  6.36
39970  5 56 56.1  24 14 59  6.02
39985  5 56 28.0  9 30 35  5.99
40020  5 56 49.5  11 31 16  5.87
40035  5 59 31.6  54 17 5  3.72
40055  6 5 09.3  75 35 9  6.40
40062  5 59 45.7  55 19 15  6.44
40083  5 59 48.1  54 32 50  6.14
40084  5 59 21.8  49 55 28  5.89
40091  5 54 52.5  -39 57 29  5.57
40105  5 54 10.7  -50 21 43  6.52
40111  5 57 59.7  25 57 14  4.82
40117  15 39 09.5  57 55 28  6.45
40136  5 56 24.3  -14 10 4  3.71
40151  5 56 14.3  -22 50 25  5.96
40176  5 55 29.9  -37 7 15  4.97
40182  21 27 01.6  -42 32 52  5.51
40183  5 59 31.7  44 56 51  1.90
40200  5 54 41.1  -49 37 37  6.10
40227  15 37 39.1  69 17 0  5.62
40235  5 56 34.5  -23 12 56  6.36
40239  5 59 56.1  45 56 13  4.26
40248  5 56 20.9  -31 22 57  5.50
40282  5 57 54.2  1 13 28  6.22
40292  5 54 50.2  -52 38 7  5.29
40312  5 59 43.3  37 12 45  2.62
40325  6 0 19.0  44 35 31  6.22
40347  5 58 11.7  0 59 39  6.22
40352  11 58 47.7  -64 20 21  5.61
40359  5 56 49.0  -31 58 34  6.44
40369  5 58 53.2  12 48 31  5.70
40372  5 58 24.4  1 50 13  5.90
40391  11 58 54.4  -25 54 32  6.43
40394  6 0 58.6  47 54 7  5.73
40409  5 54 06.1  -63 5 24  4.65
40411  21 25 51.5  0 32 4  6.46
40436  15 42 44.6  26 17 44  3.84
40446  5 58 49.6  0 33 11  5.22
40455  5 54 11.9  -64 28 56  6.63
40484  15 47 53.7  -65 26 33  6.39
40486  6 1 43.1  48 57 34  5.96
40494  5 57 32.2  -35 17 0  4.36
40535  5 59 01.0  -9 22 56  6.12
40536  5 59 04.3  -9 33 30  5.03
40551  11 59 03.4  0 31 50  6.17
40574  5 59 37.7  -1 26 40  6.63
40588  6 1 10.2  31 2 5  5.98
40589  6 1 00.4  27 34 20  6.05
40626  6 2 48.7  49 54 20  6.05
40657  6 0 03.4  -3 4 27  4.53
40665  5 57 14.4  -53 25 34  6.45
40716  15 43 59.3  32 30 57  5.56
40722  6 2 53.6  43 22 43  6.42
40724  6 1 41.6  22 24 3  6.37
40728  15 42 50.7  52 21 39  5.51
40733  5 58 37.6  -44 2 4  5.81
40745  6 0 17.7  -12 53 59  6.22
40751  21 26 40.0  -22 24 41  3.74
40801  6 3 18.0  42 54 42  6.10
40808  5 59 08.8  -42 48 55  3.96
40812  11 59 10.9  -51 41 48  6.05
40827  6 5 08.3  59 23 35  6.34
40832  6 2 55.1  32 38 9  6.24
40873  6 4 29.1  51 34 24  6.45
40932  6 2 23.0  9 38 51  4.12
40953  5 50 16.7  -79 21 41  5.47
40956  6 6 39.2  63 27 13  6.39
40964  6 2 17.1  1 41 40  6.59
40967  6 1 50.4  -10 35 53  4.95
40972  6 1 13.1  -25 25 4  6.05
41040  6 3 27.3  19 41 26  5.14
41047  6 1 16.4  -33 54 42  5.55
41074  6 5 03.4  42 58 54  5.87
41076  6 3 24.7  11 40 51  6.08
41116  6 4 07.2  23 15 48  4.16
41117  6 3 55.2  20 8 18  4.63
41125  6 2 33.8  -14 29 50  6.20
41162  6 5 02.6  37 57 51  6.34
41211  21 26 28.1  1 6 12  6.13
41214  6 0 49.2  -51 12 59  5.67
41269  6 5 34.0  33 35 57  6.23
41312  6 3 15.5  -26 17 4  5.04
41330  6 6 08.5  35 23 15  6.12
41335  6 4 13.5  -6 42 33  5.21
41357  6 6 35.1  38 28 58  5.36
41361  6 4 58.2  5 25 12  5.67
41380  6 4 58.4  4 9 31  5.63
41391  21 27 14.8  -21 11 46  5.78
41429  6 6 22.5  29 30 45  6.08
41456  15 48 02.0  31 44 9  6.44
41467  6 7 26.9  41 51 15  6.12
41472  15 46 34.8  55 28 29  5.92
41511  6 4 59.1  -16 29 4  4.93
41527  15 48 34.4  28 9 24  5.85
41534  6 4 20.3  -32 10 21  5.65
41547  6 5 27.0  -10 14 34  5.87
41586  6 2 09.2  -60 5 49  6.45
41597  6 9 59.1  58 56 9  5.36
41636  6 8 23.0  41 3 20  6.36
41653  15 46 40.0  62 35 58  5.19
41675  15 47 38.0  55 22 36  5.86
41692  6 6 38.7  -4 11 38  5.38
41695  6 6 09.3  -14 56 7  4.67
41698  6 5 45.7  -24 11 44  6.95
41700  6 4 28.4  -45 2 12  6.35
41714  15 49 35.7  26 4 6  4.63
41742  6 4 40.2  -45 4 44  5.93
41742  11 59 37.3  -78 13 19  4.91
41753  6 7 34.3  14 46 6  4.42
41759  6 5 27.1  -35 30 49  5.80
41811  11 59 56.9  3 39 19  5.37
41814  6 6 51.9  -11 10 25  6.66
41824  6 4 46.9  -48 27 31  6.58
41841  6 6 32.0  -23 6 38  5.47
41843  6 6 05.5  -29 45 31  5.81
41881  21 26 26.7  19 22 32  6.07
41927  6 12 51.1  65 43 6  5.32
41933  6 6 57.6  -21 48 46  5.78
41992  15 51 15.9  20 58 40  4.76
42035  6 8 47.2  8 40 12  6.55
42042  6 7 41.6  -19 9 57  5.31
42049  6 9 32.4  22 11 24  5.93
42054  6 7 03.7  -34 18 43  5.83
42078  6 6 41.0  -42 17 55  6.12
42083  6 11 46.0  52 38 50  6.30
42087  6 9 44.0  23 6 48  5.75
42091  15 51 13.9  35 39 27  4.82
42105  15 44 03.5  77 47 40  4.32
42111  6 8 57.9  2 29 58  5.73
42126  6 11 36.5  48 42 47  6.82
42127  6 11 36.6  48 42 40  6.09
42167  6 7 31.6  -37 15 11  5.02
42168  6 7 01.9  -45 5 29  6.51
42278  6 9 36.2  -5 42 40  6.17
42282  21 29 00.3  -53 42 21  6.39
42301  6 8 57.9  -22 25 39  5.50
42303  6 7 52.9  -42 9 14  5.50
42327  6 9 20.3  -18 7 34  6.35
42341  6 9 34.3  -14 35 3  5.56
42351  6 11 01.8  18 7 46  6.33
42373  15 52 40.5  42 27 6  4.62
42398  6 11 32.3  24 25 13  5.80
42443  6 9 47.9  -22 46 27  5.71
42448  6 8 34.6  -44 21 22  6.27
42466  6 13 45.3  51 10 21  6.04
42471  6 12 20.1  32 41 36  5.78
42475  6 11 51.4  21 52 7  6.56
42477  6 11 27.9  13 38 19  6.04
42486  6 9 47.2  -26 42 3  6.27
42509  6 12 01.3  19 47 26  5.75
42525  6 6 09.4  -66 2 23  5.71
42531  15 52 16.6  55 49 36  5.81
42536  6 11 01.3  -6 45 15  6.15
42540  6 7 03.4  -62 9 17  5.05
42543  6 12 19.1  22 54 30  6.39
42545  6 12 03.3  16 7 50  4.95
42560  6 11 56.4  14 12 32  4.48
42574  15 54 34.6  20 18 39  5.44
42621  6 10 34.6  -27 9 15  5.72
42633  6 15 40.6  59 59 57  5.35
42657  6 11 43.7  -4 39 56  6.18
42682  6 10 10.3  -40 21 13  5.58
42683  6 9 23.3  -49 33 46  6.49
42690  6 11 51.8  -6 33 1  5.05
42729  6 11 13.5  -26 28 56  6.09
42780  15 54 37.9  43 8 19  5.37
42784  6 13 33.4  18 40 49  6.58
42807  6 13 12.6  10 37 39  6.45
42818  6 18 50.8  69 19 11  4.80
42824  6 12 44.4  -2 30 16  6.62
42834  6 10 39.9  -45 16 55  6.31
42908  15 55 47.6  37 56 49  5.45
42926  15 55 30.6  42 33 58  5.75
42927  6 12 46.3  -17 45 47  6.52
42933  6 10 17.9  -54 58 7  4.81
42954  6 14 28.6  17 54 23  5.88
42973  6 17 54.8  61 30 55  4.98
42995  6 14 52.6  22 30 24  3.28
43017  6 15 39.0  36 8 55  6.92
43023  6 13 54.3  -3 44 29  5.83
43039  6 15 22.7  29 29 53  4.35
43041  12 0 44.5  -10 26 46  5.55
43042  6 14 50.9  19 9 23  5.20
43071  12 0 42.5  -21 50 14  6.28
43107  6 8 44.2  -68 50 36  5.06
43107  15 57 35.3  26 52 40  4.15
43112  6 15 08.5  13 51 4  5.91
43153  6 15 25.1  16 8 35  5.30
43157  6 14 36.7  -4 34 6  5.83
43187  15 55 49.7  58 54 42  6.31
43209  15 57 29.9  39 41 43  6.31
43211  12 0 52.4  6 36 51  4.66
43244  6 17 34.7  46 25 27  6.52
43247  6 15 45.0  12 33 4  5.33
43261  6 16 19.0  23 58 12  6.08
43335  6 16 23.8  17 10 53  6.39
43371  12 0 51.2  -19 39 32  5.26
43378  6 19 37.4  59 0 39  4.48
43380  6 18 16.9  46 21 38  6.38
43384  6 16 58.7  23 44 27  6.25
43386  6 16 26.6  12 16 20  5.04
43435  15 58 57.7  36 38 38  5.62
43454  15 59 30.2  25 55 13  2.0
43466  15 57 47.4  54 44 59  4.95
43561  12 1 01.8  -1 46 5  6.31
43583  6 17 33.3  14 3 30  6.59
43584  15 59 04.4  49 52 52  6.05
43631  21 28 13.9  -11 34 6  6.61
43683  6 18 05.6  14 22 58  6.16
43761  16 1 02.7  33 18 13  5.41
43807  16 1 26.6  29 51 4  4.99
43811  21 28 43.4  -21 48 26  4.51
43812  6 22 03.6  59 22 20  5.94
43819  6 19 01.8  17 19 30  6.32
43894  16 2 17.7  22 48 16  4.83
43905  6 21 46.1  53 27 8  5.36
43942  21 29 03.8  -31 14 19  6.50
44033  6 20 04.2  14 39 4  5.69
44092  6 21 12.1  29 32 28  6.43
44173  6 20 52.3  11 45 23  6.54
44204  16 2 05.5  52 54 57  5.93
44206  16 2 47.9  46 2 12  4.76
44208  16 3 19.4  36 37 54  5.83
44234  6 21 25.9  17 45 49  6.35
44284  16 1 53.3  58 33 55  4.01
44302  12 1 29.0  -57 30 13  6.16
44451  21 28 24.8  8 11 44  6.40
44472  6 28 14.6  70 32 8  5.97
44478  6 22 57.6  22 30 49  2.88
44497  6 22 36.5  12 34 12  6.00
44537  6 24 53.9  49 17 17  4.91
44542  16 3 09.3  59 24 39  6.19
44691  6 26 25.8  56 17 6  5.64
44708  6 26 48.9  58 25 2  5.21
44766  6 24 52.6  29 42 26  6.71
44867  6 24 52.9  16 3 25  6.33
44889  16 7 22.2  21 49 21  6.14
44927  6 25 32.9  23 19 37  6.06
44984  6 25 28.1  14 43 19  6.24
45105  6 27 51.1  47 24 19  6.56
45192  6 27 35.5  32 33 47  6.43
45328  16 8 58.3  36 29 27  4.76
45389  16 8 46.2  44 56 6  4.26
45394  6 27 56.6  20 29 46  6.22
45410  6 30 47.2  58 9 46  5.88
45412  6 28 34.1  30 29 35  5.55
45454  16 6 19.7  67 48 37  5.44
45466  6 30 03.0  46 41 8  5.90
45504  6 28 56.6  26 58 4  6.47
45506  6 28 28.0  16 14 18  6.23
45512  6 28 18.8  10 18 14  6.15
45542  6 28 57.8  20 12 44  4.15
45552  12 2 20.1  -85 37 54  6.05
45560  6 40 16.8  79 35 58  6.54
45601  21 28 59.9  17 54 21  6.44
45618  6 44 30.2  82 6 55  6.65
45622  16 3 31.3  76 47 37  5.56
45638  6 29 00.0  11 1 10  6.59
45674  16 9 02.9  57 56 16  6.33
45694  16 9 26.0  55 49 44  6.49
45702  12 2 28.6  -71 29 20  6.42
45713  16 11 38.0  23 29 41  5.70
45727  6 28 49.5  -7 2 4  5.60
45771  21 29 59.6  -19 8 52  6.57
45802  16 11 39.7  33 20 33  6.29
45849  16 11 48.0  36 25 30  5.63
45866  6 40 28.8  77 59 45  5.73
45931  16 11 47.6  42 22 28  5.87
45947  6 37 54.9  73 41 44  6.24
45951  6 31 10.1  16 56 19  6.20
45976  16 12 45.3  26 40 15  6.50
45995  6 31 09.5  11 15 3  6.14
46002  12 2 37.7  -69 11 32  5.89
46031  6 31 37.4  15 54 12  6.40
46052  6 32 27.2  32 27 17  5.87
46075  6 31 39.2  11 47 32  6.65
46089  6 31 48.3  11 32 40  5.23
46101  6 34 32.8  55 21 11  6.45
46178  6 32 23.3  11 40 25  6.03
46251  6 33 42.7  33 1 27  6.42
46251  12 2 51.6  -7 41 1  6.22
46361  16 14 40.8  33 51 31  5.64
46362  16 14 40.8  33 51 30  6.66
46374  6 33 36.1  14 9 19  5.53
46480  6 37 41.4  61 28 52  5.94
46509  6 40 32.2  71 44 56  5.92
46537  16 15 47.4  27 25 20  6.14
46553  6 35 12.1  28 1 20  5.27
46588  6 46 14.1  79 33 53  5.45
46590  6 37 38.5  56 51 27  5.85
46603  16 12 25.1  67 8 39  6.21
46687  6 36 32.9  38 26 43  5.29
46709  6 35 17.6  9 59 18  5.88
46712  12 3 01.5  -63 18 46  4.33
46738  16 16 44.8  29 9 1  5.78
46926  16 10 49.5  75 52 39  5.48
47020  6 37 27.2  24 35 27  6.44
47070  6 38 39.5  39 23 27  5.69
47100  6 38 49.2  39 54 9  5.20
47105  6 37 42.7  16 23 57  1.93
47142  16 12 32.2  75 12 38  6.39
47152  6 38 23.0  28 59 3  5.79
47156  6 37 36.9  10 51 11  6.38
47174  6 39 19.9  42 29 20  4.79
47232  16 17 15.3  59 45 18  5.40
47266  16 20 04.3  21 7 57  6.05
47270  6 39 58.0  44 0 50  6.41
47312  12 3 39.6  -42 26 3  5.15
47321  16 14 33.5  73 23 42  5.98
47352  16 19 11.2  49 2 17  5.91
47358  6 39 05.3  22 1 51  6.04
47365  16 19 55.1  39 42 31  5.46
47394  16 19 44.4  46 18 48  3.89
47395  6 39 33.1  28 15 47  6.03
47415  6 39 31.4  24 36 0  6.38
47522  12 3 44.3  -74 12 50  6.44
47575  6 39 47.6  12 58 59  5.97
47662  16 18 09.4  68 33 16  6.41
47677  16 22 05.8  30 53 31  4.85
47703  6 41 37.7  35 55 55  6.46
47731  6 41 21.0  28 11 47  6.42
47749  16 22 21.4  33 47 57  5.20
47767  16 22 29.2  33 42 13  5.39
47832  21 32 05.9  -41 10 45  5.29
47835  16 22 56.5  32 19 59  6.40
47863  6 41 21.8  16 23 51  6.28
47886  6 41 17.2  11 0 12  6.11
47914  6 43 05.0  44 31 28  5.02
47979  6 44 11.6  53 17 47  6.27
48048  16 17 30.3  75 45 19  4.95
48073  6 43 13.8  37 8 49  6.19
48097  6 42 24.3  17 38 43  5.21
48250  6 46 14.1  59 26 30  4.87
48272  6 44 12.6  36 6 35  6.31
48283  16 25 24.2  37 23 38  5.54
48293  16 21 48.7  69 6 34  5.25
48329  6 43 55.9  25 7 52  2.98
48330  16 24 25.3  55 12 18  5.74
48374  16 23 47.0  61 41 48  5.67
48387  16 23 59.5  61 30 51  2.74
48412  12 4 19.2  -63 9 56  4.72
48432  6 46 49.5  57 10 9  5.35
48433  6 43 59.3  13 13 40  4.49
48450  6 44 45.5  28 58 15  5.44
48542  21 32 14.6  -33 56 41  5.97
48621  21 31 09.6  12 8 15  6.08
48671  21 31 33.5  -5 34 16  2.91
48682  6 46 44.3  43 34 39  5.25
48732  21 33 17.7  -52 44 15  6.41
48737  6 45 17.4  12 53 44  3.36
48766  6 48 12.3  55 42 16  6.28
48767  6 48 12.9  55 42 16  6.33
48781  6 47 39.6  48 47 22  5.22
48782  12 4 38.7  -68 19 45  5.35
48783  16 28 38.5  41 52 54  5.04
48843  6 45 54.2  12 41 37  6.46
48856  16 30 13.2  21 29 23  2.77
48879  6 50 57.1  67 34 19  5.14
48880  16 28 43.4  51 24 28  6.29
48897  16 30 33.6  20 28 45  5.25
49009  16 31 13.4  22 11 43  5.76
49022  12 4 46.5  -76 31 9  5.04
49042  21 38 56.2  -79 26 33  6.18
49059  6 47 23.5  18 11 36  6.20
49081  16 30 06.0  48 57 39  6.45
49084  16 31 02.8  35 13 30  6.25
49212  16 27 59.0  68 46 5  5.00
49303  16 31 47.3  45 35 54  5.65
49332  12 4 57.1  -60 58 9  5.96
49340  6 53 42.2  68 53 18  5.12
49380  6 49 41.3  32 36 24  5.71
49431  21 32 33.3  -24 35 26  6.43
49520  6 50 45.9  41 46 53  5.02
49602  21 33 23.5  -44 50 55  5.57
49606  6 49 49.8  16 12 10  5.85
49618  6 53 05.1  59 26 55  5.33
49630  16 34 06.2  42 26 13  4.20
49650  16 32 25.7  60 49 24  5.94
49681  16 25 43.1  78 57 50  5.56
49738  6 50 25.5  13 24 48  5.65
49791  12 5 12.5  8 43 59  4.12
49878  7 0 04.0  76 58 39  4.55
49908  6 51 33.0  21 45 40  5.27
49949  6 53 07.6  44 50 22  6.26
49968  6 52 00.0  23 36 6  5.65
50010  16 31 28.1  72 36 43  6.30
50018  6 53 01.5  38 52 9  6.12
50019  6 52 47.3  33 57 40  3.60
50030  16 36 11.2  46 36 48  5.79
50037  6 53 13.4  38 26 17  6.30
50056  6 53 03.4  35 47 19  6.01
50100  16 36 11.5  52 54 1  5.53
50117  16 36 13.7  52 55 28  5.08
50118  16 36 14.1  52 55 27  6.53
50204  6 53 57.0  38 30 18  6.48
50275  16 30 38.8  77 26 48  6.34
50371  6 53 22.5  10 59 47  6.24
50384  6 55 15.2  45 49 35  6.34
50420  6 55 14.7  43 54 36  6.13
50429  16 36 55.0  63 4 22  6.16
50449  16 38 00.4  56 0 56  5.29
50450  16 38 44.9  48 55 42  4.90
50522  6 57 16.5  58 25 21  4.35
50551  6 57 13.2  57 33 48  6.05
50580  16 41 00.6  24 51 31  6.06
50635  6 54 38.7  13 10 40  4.65
50658  6 56 32.3  46 16 27  5.87
50680  16 41 17.2  31 36 11  2.81
50682  16 41 36.7  26 55 1  5.92
50692  6 55 18.6  25 22 32  5.73
50712  12 5 53.2  -65 32 50  6.33
50763  6 56 56.0  46 42 18  5.86
50782  12 5 56.7  -35 41 38  6.23
50885  7 1 21.5  70 48 29  5.68
50891  12 5 59.8  -3 7 54  6.37
50962  21 34 17.0  -42 55 30  6.32
50973  6 57 37.1  45 5 39  4.90
50997  16 42 53.8  38 55 20  3.53
51000  6 57 00.5  33 40 52  5.89
51087  16 43 51.7  34 2 20  5.99
51101  16 40 55.1  64 35 21  4.83
51104  6 56 25.8  9 57 23  5.92
51199  16 42 58.4  55 41 25  6.16
51330  6 57 25.7  11 54 27  6.27
51382  12 6 19.8  -68 39 3  6.23
51388  16 45 11.7  43 13 2  6.05
51440  6 59 02.8  38 3 8  6.00
51512  12 6 23.1  -65 42 33  6.06
51530  6 58 47.4  26 4 52  6.10
51613  16 45 17.8  56 46 55  4.85
51623  16 37 52.9  78 55 6  6.32
51688  6 59 27.9  25 54 51  6.40
51732  16 47 19.8  42 14 20  5.87
51802  7 40 30.5  87 1 12  5.07
52005  7 0 15.8  16 4 44  5.68
52030  7 5 51.8  70 43 55  6.50
52100  7 1 17.2  32 24 52  6.59
52107  16 49 14.2  45 59 0  4.82
52112  12 6 52.9  -64 36 49  4.15
52153  16 49 40.5  43 25 50  6.13
52173  16 50 39.0  29 48 24  5.72
52224  16 50 43.1  32 33 13  6.13
52262  16 50 36.1  41 53 48  6.29
52303  16 43 06.0  77 30 51  5.98
52326  16 51 45.3  24 39 23  5.04
52497  7 2 24.8  24 12 55  5.18
52554  7 2 25.5  17 45 20  5.94
52556  7 2 17.4  15 20 10  5.74
52598  16 52 58.1  31 42 6  5.32
52609  7 2 33.5  16 40 27  5.82
52651  21 34 53.0  -29 41 46  6.41
52708  7 6 01.3  59 48 7  6.44
52711  7 3 30.4  29 20 14  5.93
52812  16 53 17.6  47 25 1  6.00
52815  16 54 55.2  20 57 31  5.41
52859  7 5 39.8  52 45 29  6.12
52860  7 5 09.0  47 46 30  6.38
52863  16 55 02.1  25 43 50  6.08
52891  21 34 51.0  -20 5 4  5.69
52960  7 3 38.0  10 57 6  5.13
52973  7 4 06.5  20 34 13  3.79
52976  7 3 51.6  12 35 40  5.98
53257  7 5 18.4  22 38 14  6.02
53287  16 57 31.0  25 21 10  6.28
53299  16 56 06.4  50 2 20  6.56
53312  16 57 42.3  24 22 53  6.32
53329  7 6 11.6  34 28 26  5.55
53402  12 7 49.8  -75 22 1  5.18
53421  21 35 15.9  -23 27 15  6.40
53472  16 57 50.2  42 30 45  6.34
53597  16 56 01.7  65 8 5  4.89
53686  7 7 22.3  34 0 34  5.91
53697  16 56 25.2  65 2 21  6.41
53744  7 7 25.0  28 10 38  6.48
53751  16 45 58.1  82 2 14  4.23
53791  7 7 21.4  22 42 13  7.68
53808  17 0 17.4  30 55 35  3.92
53822  12 8 05.2  -50 39 41  4.47
53832  12 8 04.8  -50 45 48  6.37
53834  17 0 58.1  22 37 56  5.65
53897  17 1 09.6  27 11 47  6.55
53899  7 8 13.3  33 49 56  6.28
53925  7 8 36.3  37 26 42  6.16
53956  16 59 21.5  56 41 19  6.03
54029  17 1 36.4  33 34 6  5.25
54070  7 13 58.1  71 49 0  6.35
54084  17 2 18.7  25 30 20  5.75
54099  16 56 16.8  73 7 40  6.30
54126  17 2 17.2  31 53 5  6.36
54131  7 8 22.0  15 55 51  5.44
54162  12 8 14.7  -48 41 34  5.34
54172  21 38 02.9  -64 49 27  6.20
54231  21 35 17.6  -3 58 59  5.77
54319  16 59 02.6  69 11 11  6.40
54352  12 8 21.5  -50 43 21  2.60
54356  17 3 30.2  35 24 51  6.69
54372  12 8 24.6  -60 50 50  6.22
54391  17 1 16.7  60 38 57  6.13
54431  17 3 53.5  34 47 25  6.04
54521  12 8 24.8  -24 43 44  4.02
54563  7 10 06.7  21 14 49  6.43
54633  17 2 15.3  64 36 2  6.10
54711  21 36 11.0  -26 10 17  5.73
54713  17 5 05.0  43 48 44  6.43
54716  7 11 39.3  39 19 14  4.90
54719  7 11 08.4  30 14 43  4.41
54732  17 4 49.8  48 48 15  6.09
54733  17 6 18.1  22 5 3  5.56
54782  21 41 28.5  -77 23 24  3.76
54801  7 11 23.1  26 51 24  5.78
54895  7 13 23.4  51 25 44  5.47
54905  17 5 19.8  54 28 13  5.83
54906  17 5 19.7  54 28 13  5.80
55052  7 12 26.4  24 7 42  5.85
55075  7 25 21.9  81 15 27  6.31
55092  12 8 53.8  -44 19 34  5.75
55102  17 7 46.7  40 30 58  6.34
55103  17 8 02.0  35 56 7  5.39
55130  7 12 49.0  27 13 29  6.43
55154  17 1 40.2  75 17 50  6.21
55212  12 8 54.5  -41 13 53  5.48
55280  7 15 54.9  59 38 15  5.20
55292  21 36 48.9  -33 2 53  6.11
55328  17 8 17.1  50 50 32  6.46
55383  7 13 22.3  16 9 32  5.00
55410  17 9 33.3  40 46 38  5.08
55514  17 11 03.2  24 14 16  6.19
55575  7 15 50.1  47 14 24  5.58
55579  7 14 26.6  24 42 39  6.89
55621  7 14 41.9  24 53 6  5.82
55711  17 10 30.6  52 24 32  6.29
55730  7 14 32.6  12 6 57  5.62
55763  17 8 47.2  65 42 53  3.17
55860  17 11 40.2  49 44 48  6.04
55866  7 17 33.7  52 7 51  5.92
55870  7 15 57.1  27 53 51  5.71
55966  7 31 04.4  82 24 41  4.96
56164  17 15 01.9  24 50 21  3.14
56169  7 18 31.9  49 27 54  5.05
56221  7 18 02.2  40 53 0  5.78
56283  17 15 02.8  36 48 33  3.16
56284  17 15 41.6  23 44 34  5.96
56295  17 12 32.6  62 52 28  5.56
56371  21 37 04.8  -19 27 58  4.68
56386  7 18 04.1  30 57 21  6.24
56391  12 9 41.3  1 53 52  5.95
56537  7 18 05.6  16 32 25  3.58
56593  17 17 35.9  23 5 27  6.45
56633  17 17 19.5  33 6 0  4.82
56729  17 17 40.3  37 17 30  4.65
56753  17 16 48.6  49 41 28  7.48
56820  7 22 17.2  59 54 7  6.35
56862  12 10 02.5  -34 42 18  6.17
56874  17 18 48.5  28 49 23  5.65
56891  17 18 23.3  38 48 41  5.94
56941  7 21 03.1  42 39 20  6.35
56947  17 16 29.4  60 40 14  6.32
56963  7 21 17.5  45 13 41  5.77
56986  7 20 07.4  21 58 56  3.53
57021  12 10 03.4  5 48 25  5.72
57049  7 20 06.9  15 8 34  6.45
57071  12 10 07.5  -22 37 11  3.00
57087  17 20 09.8  25 32 15  5.38
57102  7 22 50.9  55 17 4  6.53
57103  7 22 52.1  55 16 53  5.45
57198  17 20 54.2  24 29 58  5.12
57214  17 20 39.6  32 28 4  5.39
57263  7 22 13.4  38 59 46  6.40
57264  7 22 02.6  36 45 38  5.13
57325  17 20 21.1  46 14 27  5.59
57358  17 21 31.2  28 45 29  6.35
57373  17 20 33.6  48 11 18  6.43
57423  7 21 56.8  20 26 37  5.10
57482  17 21 43.6  39 58 28  5.51
57508  7 34 39.7  80 53 48  6.41
57646  7 24 57.2  51 53 14  5.80
57651  21 37 33.8  0 23 25  6.25
57669  7 24 08.5  40 40 20  5.19
57671  21 37 45.1  -7 51 15  4.69
57681  17 21 45.4  53 25 14  5.67
57727  7 23 28.5  25 3 2  5.03
57728  17 24 06.6  22 57 37  5.74
57742  7 27 25.8  66 19 54  6.47
57744  7 23 28.2  22 56 43  6.02
57762  12 10 33.8  -37 52 13  6.06
57778  17 23 40.7  37 8 48  5.47
57779  17 23 41.0  37 8 45  4.52
57853  17 24 02.2  38 34 58  6.49
57910  17 24 27.1  36 57 7  6.28
57927  7 24 33.4  27 38 17  5.76
58050  7 24 27.7  15 31 2  6.41
58067  17 26 00.9  26 52 44  6.41
58111  21 37 43.7  6 37 6  6.18
58142  7 26 42.8  49 12 41  4.64
58148  17 26 49.1  20 4 51  5.54
58187  7 24 58.2  11 40 11  5.30
58207  7 25 43.6  27 47 53  3.79
58261  17 26 46.2  34 41 45  5.94
58412  12 11 04.9  -61 16 39  6.08
58414  17 26 44.2  48 15 36  5.85
58425  7 30 52.7  68 27 56  5.64
58460  17 25 41.3  60 2 54  5.65
58485  17 26 04.9  58 39 7  6.51
58501  12 11 03.9  -23 36 9  5.46
58521  21 37 45.4  19 19 7  5.45
58522  12 11 02.9  -45 25 22  6.61
58551  7 26 50.2  21 32 9  6.54
58552  7 26 27.9  10 36 30  6.37
58579  7 26 56.3  20 15 26  5.93
58599  7 26 41.3  11 0 33  6.41
58633  17 25 00.2  67 18 23  6.43
58661  7 28 51.6  48 11 2  5.72
58722  21 39 06.1  -33 40 45  6.28
58728  7 27 44.4  21 26 42  5.22
58772  21 39 59.7  -52 21 33  6.21
58855  7 29 56.0  49 40 21  5.36
